,created_at,name,text,followers_count,verified,retweet_count,favorite_count
117,Thu,Michael Goldstein,RT I use Bitcoin everyday No I don t spend it on bread or coffee but by HODLing it I get the peace of mind of having an as,20475,False,33,0
118,Wed,allthattimes2,RT You can buy your desired cryptocurrency using the Swift Swap CSS and also cut the conversion cost by 75 cryptoc,2153,False,144,0
119,Tue,Apurba Kumar,RT Perspective 101 btc blockchaintechnology trading money asset investing investment finance income Banking,1159,False,1,0
120,Mon,Morgan,RT We have now sold our first 20 residential plots at I need 3 businesses to come to the town must be Bitco,5300,False,5,0
121,Sun,Krishna Bogati,RT We are airdropping 100 LightningNet LNET Follow us join our telegram and retweet this t,2,False,7436,0
122,Sat,Fiat Killer,RT The urge for humans to mine Bitcoin as the difficulty rises is irresistible and will never stop not even after every fiat,33,False,52,0
123,Fri,bitmex,Bitmex Industry leading leverage up to 100x without expiries Bitcoin Crypto,504,False,0,0
124,Thu,Earn Money Online Opportunity,RT Bitcoin Satoshi Earn Money cryptocurrency blockchain Airdrop New Airdrop COSS COSS Trading promo with 1 000 000,604,False,10,0
125,Wed,HammerDown,RT New node who dis We ve updated our Bitcoin LightningNetwork node amp have a new address for you to connect to,1205,False,2,0
126,Tue,Rosellie Dawami,Help us get listed on Shardax exchange by voting here and earn 2 Capras everyday You can,124,False,0,0
127,Mon,Small Cap Society,This is me with the current price bitcoin cryptocurrency blockchain,19161,False,0,0
128,Sun,Fiat Killer,RT Annual Economic Costs Banking 1 870B Gold Mining 105B Banking Electricity 63 8B Gold Recycling 40B Paper,33,False,834,0
129,Sat,Безумный Запорожец,RT Invest with Impact Invest with Certainty Invest with RECF bitcoin money cryptocurrency cr,973,False,1383,0
130,Fri,Buy The ATH ⚡️ (100K 2018!),RT The urge for humans to mine Bitcoin as the difficulty rises is irresistible and will never stop not even after every fiat,2403,False,52,0
131,Thu,BitcoinAgile,Bull Run Bounce by trader lachdix published June 08 2018 BTCUSD,48589,False,0,0
132,Wed,TheMmp #ICO,RT In less than 3 days the Storeplex Pre ICO will be live There s a 100 bonus for early investors so make sure you re a p,4166,False,42,0
133,Tue,Aswin ps,RT Jbox is giving free FIFA match tickets click on below link to participate FIFAWCOnStarTimes jbxfi,13,False,50,0
134,Mon,Lilla Bracken,RT ACCESS Association of Cryptocurrency Enterprises amp Startups Biz eBiz CryptoBiz CryptoC,14,False,1,0
135,Sun,⚡CRYPTOLOGIST⚡,RT Bitcoin Fees measured in sat byte have now been cheaper than BCH for over a week Source http,789,False,6,0
136,Sat,Frosa,RT The urge for humans to mine Bitcoin as the difficulty rises is irresistible and will never stop not even after every fiat,18,False,52,0
137,Fri,stephen sego,RT 444Million Token Airdrop Starts Join Now Airdrop freetoken freecoin erc20 ethereum eth eth,321,False,2235,0
138,Thu,Андрей Архипенко,RT 444Million Token Airdrop Starts Join Now Airdrop freetoken freecoin erc20 ethereum eth eth,6904,False,2235,0
139,Wed,hahaha,RT Coinbase acquired a securities dealer to let customers trade their ERC20 tokens More than 13 billion has been raised,32,False,70,0
140,Tue,Wu Yiren,RT Crypto Back to Basics Proof of Work and Proof of Stake are software algorithms used for reaching a consensus on a,9,False,12,0
141,Mon,stephen sego,RT Get More Tokens Send a minimum of 0 001ETH to 0xd506e5e57e22c695bf28c96e73c296051177a678 and get 444 444 tokens The more yo,321,False,2327,0
142,Sun,Earn Money Online Opportunity,RT Bitcoin cryptocurrency Airdrop New Airdrop SHEC Bonus 500 SHEC Token Fill out form and Receive 500 SHEC Tokens,604,False,1,0
143,Sat,Coolwired,The latest Cool Tech Times bitcoin socialmedia,632,False,0,1
144,Fri,Seere,RT When I started buying Bitcoin at 3 in 2011 told me to wait She was right She started buying at 1,43,False,26,0
145,Thu,Block Frontier,The world s largest producer of bitcoin mining chips which is run by a 32 year old billionaire is reportedly con,924,False,0,0
146,Wed,Buy The ATH ⚡️ (100K 2018!),RT Bitcoin Fees measured in sat byte have now been cheaper than BCH for over a week Source http,2403,False,6,0
147,Tue,Serenitey,RT I will choose 50 random followers to win 10 000NEOC Please 1 FOLLOW 2 LIKE AND RETWEET 3 Comm,2029,False,5,0
148,Mon,Андрей Архипенко,RT Get More Tokens Send a minimum of 0 001ETH to 0xd506e5e57e22c695bf28c96e73c296051177a678 and get 444 444 tokens The more yo,6904,False,2327,0
149,Sun,HudsonProdigy,RT Annual Economic Costs Banking 1 870B Gold Mining 105B Banking Electricity 63 8B Gold Recycling 40B Paper,64,False,834,0
150,Sat,Krypto,RT Three Luxury Apartments Sold for 420 BTC in the Coastal Region of Montenegro Bitcoin,89,False,82,0
151,Fri,Ricardo,RT Get More Tokens Send a minimum of 0 001ETH to 0xd506e5e57e22c695bf28c96e73c296051177a678 and get 444 444 tokens The more yo,10,False,2327,0
152,Thu,Татьяна Чарина,RT Venezuelan Government has issued an official statement eliminating obstacles to the import of mining equipment crypto,62,False,23,0
153,Wed,Ahmad farhan,RT Get More Tokens Send a minimum of 0 001ETH to 0xd506e5e57e22c695bf28c96e73c296051177a678 and get 444 444 tokens The more yo,11,False,2327,0
154,Tue,Crypto.IQ,BTC bringing people together amp Nashville CountryMusic Announcement coming soon J,3041,False,0,1
155,Mon,Sash Warna,RT When you know it s Friday amp the weekend is just around the corner leaving you to just concentrate on Crypto Happy,294,False,39,0
156,Sun,zazazu,RT The Bitcoin hashrate jumped nearly 5 exahash in the last 2 weeks alone To put that gain in perspective it took 8 5 ye,85,False,139,0
157,Sat,Leroy Bigsley,RT Paymaz ecosystem will have a crypto exchange a universal wallet B2B and B2C payment gateways and a strong POS network to he,3333,False,221,0
158,Fri,Татьяна Чарина,RT Cryptcurrency bitcoin ethereum Ripple ICOs cryptocurrency,62,False,28,0
159,Thu,newown,RT Missed your chance with Bitcoin Genbby is unlocking a hidden potential in the gaming industry Support our project an,8548,False,2614,0
160,Wed,DWICF INC.,RT Only 2 days left to get 500 QRX for 1 ETH Don t miss LAST CHANCE to join the future of cryptotrading,1496,False,385,0
161,Tue,bitcoinhog⚡$100k BTC 2018,RT Billionaire Mike Novogratz someone with a large network in the financial market Institutional money is getting ready,1891,False,282,0
162,Mon,Blockchain,Blockchain The Complete Beginners Guide bitcoin Cryptocurrency Ethereum Smart Contracts Mining And All That Y,18024,False,0,0
163,Sun,Fiat Killer,RT Let s be honest 99 of us wouldn t give two shits about the financial sector if it wasn t for bitcoin,33,False,49,0
164,Sat,"Diego ""Not giving away Crypto"" Gutierrez-Zaldivar",RT Speaking on Bloomberg today re crypto and regulators Bitcoin Ethereum blockchain,16362,False,14,0
165,Fri,Invest Altcoins ❤⚡️ 🇬🇧,ACCESS Association of Cryptocurrency Enterprises amp Startups Biz eBiz CryptoBiz,3879,False,1,0
166,Thu,Earn Money Online Opportunity,RT Bitcoin cryptocurrency Airdrop New Airdrop Box Box Token Airdrop Begins Givingaway 30 Million BOX Get Up to 260,604,False,8,0
167,Wed,Lea Marino,RT 444Million Token Airdrop Starts Join Now Airdrop freetoken freecoin erc20 ethereum eth eth,1404,False,2235,0
168,Tue,rajkumari,Free Bitcoins Faucet Earn 100 free btc in 5 minutes bitcoin freebtc getbtc,97,False,0,0
169,Mon,Mộc Lâm,RT Get More Tokens Send a minimum of 0 001ETH to 0xd506e5e57e22c695bf28c96e73c296051177a678 and get 444 444 tokens The more yo,152,False,2327,0
170,Sun,Winkdex Tweets,Two Hour Lull Update CryptoCompare Bitcoin price 7642 04 bitcoin,3282,False,0,0
171,Sat,juyeon Hong,RT Get More Tokens Send a minimum of 0 001ETH to 0xd506e5e57e22c695bf28c96e73c296051177a678 and get 444 444 tokens The more yo,435,False,2327,0
172,Fri,Buy The ATH ⚡️ (100K 2018!),RT I use Bitcoin everyday No I don t spend it on bread or coffee but by HODLing it I get the peace of mind of having an as,2403,False,33,0
173,Thu,BitcoinGatherer.com,Gold 1800W 92 ATX ETH Mining Machine Power Supply For BitCoin Miner S Antrouter,6919,False,0,0
174,Wed,Boris Popovich,RT Bitcoin is by far the most energy efficient monetary system we ve ever designed,1126,False,565,0
175,Tue,ClubedosInvestidores,Gold 1800W 92 ATX ETH Mining Machine Power Supply For BitCoin Miner S Antrouter,3625,False,0,0
176,Mon,analyst5,ETH 276 705m BTC 59 963m XEM 32 994m DASH 30 212m ZEC 25 657m SC 6 127,5963,False,0,0
177,Sun,yinka,RT Accounting Blockchain Airdrop 4 500 AB 45 1 Signup amp Verify your email Hurry up Limited to,3,False,1,0
178,Sat,BlockchainNet,RT If you re looking to attend the World Blockchain Forum next week but could not get a ticket come to Satoshi Square to,7910,False,40,0
179,Fri,DWICF INC.,RT The Beta version of Qurrex amazing trading platform is already online at TokenSale bitcoin crypto,1496,False,181,0
180,Thu,smarttcoin,RT Get More Tokens Send a minimum of 0 001ETH to 0xd506e5e57e22c695bf28c96e73c296051177a678 and get 444 444 tokens The more yo,2,False,2328,0
181,Wed,tomdicky,RT bitcoin cryptotrading crypto cryptocurrencies BTC BTC Are you Bullish Now,95,False,104,0
182,Tue,Airdrop Hunter,Free Business Crypto Cryptocurrency Bitcoin BTC ETH Blockchain Future bounty Airdrop,146,False,0,0
183,Mon,Bitcoin cash trumps BCH [BCH/BCC/XBC],RT The Bitcoin Cash Story BitcoinCash has a robust community of early Bitcoin supporters Over sixty developers across severa,3195,False,1,0
184,Sun,General Crypto Store,This is one Stellar tie See more at stellar stellarlumens xlm bitcoin altcoins,17,False,0,0
185,Sat,Alex Corral *️⃣,RT You stand corrected BitcoinCash took segregated witnesses out of the system And zeroconf d RBF back to where it belongs,36258,False,1,0
186,Fri,Lea Marino,RT Get More Tokens Send a minimum of 0 001ETH to 0xd506e5e57e22c695bf28c96e73c296051177a678 and get 444 444 tokens The more yo,1404,False,2328,0
187,Thu,#IncomeMachine,Earn 100 per TBC Coin Distributed Out of the Admin Wallet Send Your Friends here Please,77710,False,1,0
188,Wed,gundu dharma teja,RT For Every 25 000 x 100 2 500 000 FREE Tokens that I GiveAway I am rewarded with 1 000 000 000 Tokens ALL are,158,False,1,0
189,Tue,Salah Gomaa,Egypt is on the right path ClubRich Blockchain Bitcoin Thefuture,134,False,0,0
190,Mon,Abdulkerim durdu,RT Get More Tokens Send a minimum of 0 001ETH to 0xd506e5e57e22c695bf28c96e73c296051177a678 and get 444 444 tokens The more yo,5,False,2328,0
191,Sun,griffin,,13,False,0,0
192,Sat,Mim Akter,RT KIRIK Private Sale is on its way to start How to participate in KIRIK ICO Find out more a,2009,False,66,0
193,Fri,The Dogs Experts,Website Telegram group ORV Orvium science peerreview,10235,False,0,0
194,Thu,€thereum [ETC] ✨,RT EthereumClassic Summit 2018 Seaul South Korea 12 13 September 2018 ETC Can,1769,False,15,0
195,Wed,BinaryFest.Com,BinaryFest BinaryOptions Forex Bitcoin MakeMoney WoW Skinning Leveling Guide 1 450,211,False,0,0
196,Tue,Earn Money Online Opportunity,RT Bitcoin Cryptocurrency Airdrop Sign Up to HuobiPro the Third Largest Cryptocurrency Exchange Worldwide Earn Up to,604,False,2,0
197,Mon,Cryptoknocks.com,BTC DCT AskRate 0 00007149 Bittrex DCT DCT DECENT altcoin bitcoin cryptocurrencies FOLLOW for PROFIT,1336,False,0,0
198,Sun,Oke Teminijesu I.,RT Get More Tokens Send a minimum of 0 001ETH to 0xd506e5e57e22c695bf28c96e73c296051177a678 and get 444 444 tokens The more yo,2,False,2328,0
199,Sat,doctaroc,RT This one is an old clip but still makes me chuckle The passion from is piercing speaking truth bombs about BTC,446,False,56,0
200,Fri,Humayun Altaf Khan,RT What do we know about you lets take a look at and the platform how does your,260,False,31,0
201,Thu,Aan Yuliyanto,RT 444Million Token Airdrop Starts Join Now Airdrop freetoken freecoin erc20 ethereum eth eth,155,False,2235,0
